"","country","beer_servings","spirit_servings","wine_servings"
"169","Tajikistan",2,15,0
"170","Thailand",99,258,1
"171","Macedonia",106,27,86
"172","Timor-Leste",1,1,4
"173","Togo",36,2,19
"174","Tonga",36,21,5
"175","Trinidad & Tobago",197,156,7
"176","Tunisia",51,3,20
"177","Turkey",51,22,7
"178","Turkmenistan",19,71,32
"179","Tuvalu",6,41,9
"180","Uganda",45,9,0
"181","Ukraine",206,237,45
"182","United Arab Emirates",16,135,5
"183","United Kingdom",219,126,195
"184","Tanzania",36,6,1
"185","USA",249,158,84
"186","Uruguay",115,35,220
"187","Uzbekistan",25,101,8
"188","Vanuatu",21,18,11
"189","Venezuela",333,100,3
"190","Vietnam",111,2,1
"191","Yemen",6,0,0
"192","Zambia",32,19,4
"193","Zimbabwe",64,18,4
